country_code,name,phone,email,description
HR,Embassy Address,"Medulićeva 22, 10000 Zagreb",,Italy
HR,Embassy Phone,+385 1 4846 050,,Italy
HR,Embassy Address,"Medulićeva 23, 10000 Zagreb",,Spain
HR,Embassy Phone,+385 1 4889 600,,Spain
HR,Embassy Address,"Andrije Hebranga 32, 10000 Zagreb",,Turkey
HR,Embassy Phone,+385 1 4578 060,,Turkey
HR,Embassy Address,"Ulica grada Vukovara 64, 10000 Zagreb",,Germany
HR,Embassy Phone,+385 1 630 0100,,Germany
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Mexico
HR,Embassy Phone,+385 1 4828 294,,Mexico
HR,Embassy Address,"Ivana Lučića 4, 10000 Zagreb",,United Kingdom
HR,Embassy Phone,+385 1 6009 100,,United Kingdom
HR,Embassy Address,"Pantovčak 28, 10000 Zagreb",,Greece
HR,Embassy Phone,+385 1 4877 460,,Greece
HR,Embassy Address,"Mlinovi 132, 10000 Zagreb",,China
HR,Embassy Phone,+385 1 4680 888,,China
HR,Embassy Address,"Gundulićeva 3, 10000 Zagreb",,Austria
HR,Embassy Phone,+385 1 4881 150,,Austria
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Portugal
HR,Embassy Phone,+385 1 4828 294,,Portugal
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,UAE
HR,Embassy Phone,+385 1 4828 294,,UAE
HR,Embassy Address,"Radnička cesta 47, 10000 Zagreb",,Netherlands
HR,Embassy Phone,+385 1 4898 500,,Netherlands
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Switzerland
HR,Embassy Phone,+385 1 4828 294,,Switzerland
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Indonesia
HR,Embassy Phone,+385 1 4828 294,,Indonesia
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Vietnam
HR,Embassy Phone,+385 1 4828 294,,Vietnam
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Australia
HR,Embassy Phone,+385 1 4828 294,,Australia
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Malaysia
HR,Embassy Phone,+385 1 4828 294,,Malaysia
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,South Korea
HR,Embassy Phone,+385 1 4828 294,,South Korea
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,India
HR,Embassy Phone,+385 1 4828 294,,India
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Saudi Arabia
HR,Embassy Phone,+385 1 4828 294,,Saudi Arabia
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Canada
HR,Embassy Phone,+385 1 4828 294,,Canada
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Brazil
HR,Embassy Phone,+385 1 4828 294,,Brazil
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Egypt
HR,Embassy Phone,+385 1 4828 294,,Egypt
HR,Embassy Address,"Pantovčak 258, 10000 Zagreb",,Morocco
HR,Embassy Phone,+385 1 4828 294,,Morocco
CH,Embassy Address,"Schosshaldenstrasse 46, 3006 Bern",,France
CH,Embassy Phone,+41 31 359 2100,,France
CH,Embassy Address,"Engestrasse 53, 3012 Bern",,Japan
CH,Embassy Phone,+41 31 305 1515,,Japan
CH,Embassy Address,"Kirchenfeldstrasse 43, 3005 Bern",,Thailand
CH,Embassy Phone,+41 31 970 3030,,Thailand
CH,Embassy Address,"Sulgeneckstrasse 19, 3007 Bern",,United States
CH,Embassy Phone,+41 31 357 7011,,United States
CH,Embassy Address,"Elfenstrasse 14, 3006 Bern",,Italy
CH,Embassy Phone,+41 31 350 0700,,Italy
CH,Embassy Address,"Kalcheggweg 24, 3006 Bern",,Spain
CH,Embassy Phone,+41 31 357 4040,,Spain
CH,Embassy Address,"Lombachweg 6, 3006 Bern",,Turkey
CH,Embassy Phone,+41 31 359 7000,,Turkey
CH,Embassy Address,"Willadingweg 83, 3006 Bern",,Germany
CH,Embassy Phone,+41 31 359 4100,,Germany
CH,Embassy Address,"Jungfraustrasse 1, 3005 Bern",,Mexico
CH,Embassy Phone,+41 31 357 4747,,Mexico
CH,Embassy Address,"16-18 Montagu Place, London W1H 2BQ (UK Embassy in Switzerland)",,United Kingdom
ID,Embassy Address,"Jl. M.H. Thamrin No.20, Jakarta 10350",,France
ID,Embassy Phone,+62 21 2355 7600,,France
ID,Embassy Address,"Jl. M.H. Thamrin No.24, Jakarta 10350",,Japan
ID,Embassy Phone,+62 21 3192 4308,,Japan
ID,Embassy Address,"Jl. DR. Ide Anak Agung Gde Agung, Jakarta 12950",,Thailand
ID,Embassy Phone,+62 21 2932 8190,,Thailand
ID,Embassy Address,"Jl. Medan Merdeka Selatan No. 5, Jakarta 10110",,United States
ID,Embassy Phone,+62 21 5083 1000,,United States
ID,Embassy Address,"Jl. Diponegoro No.45, Jakarta 10310",,Italy
ID,Embassy Phone,+62 21 3193 7445,,Italy
ID,Embassy Address,"Jl. H. Agus Salim No.61, Jakarta 10350",,Spain
ID,Embassy Phone,+62 21 314 2355,,Spain
ID,Embassy Address,"Jl. H. Agus Salim No.61, Jakarta 10350",,Turkey
ID,Embassy Phone,+62 21 3190 4046,,Turkey
ID,Embassy Address,"Jl. M.H. Thamrin No.1, Jakarta 10310",,Germany
ID,Embassy Phone,+62 21 3985 5000,,Germany
ID,Embassy Address,"Jl. H. Agus Salim No.61, Jakarta 10350",,Mexico
ID,Embassy Phone,+62 21 520 3980,,Mexico
ID,Embassy Address,"Jl. Patra Kuningan Raya Blok L5-6, Jakarta 12950",,United Kingdom
ID,Embassy Phone,+62 21 2356 5200,,United Kingdom
ID,Embassy Address,"Jl. Imam Bonjol No.80, Jakarta 10310",,Greece
ID,Embassy Phone,+62 21 314 1218,,Greece
ID,Embassy Address,"Jl. Mega Kuningan Barat No.2, Jakarta 12950",,China
ID,Embassy Phone,+62 21 576 1039,,China
ID,Embassy Address,"Jl. Diponegoro No.44, Jakarta 10310",,Austria
ID,Embassy Phone,+62 21 3190 5005,,Austria
ID,Embassy Address,"Jl. H. Agus Salim No.61, Jakarta 10350",,Portugal
ID,Embassy Phone,+62 21 3190 4046,,Portugal
ID,Embassy Address,"Jl. Mega Kuningan Barat No.1, Jakarta 12950",,UAE
ID,Embassy Phone,+62 21 2954 4171,,UAE
ID,Embassy Address,"Jl. H.R. Rasuna Said Kav. S-3, Jakarta 12950",,Netherlands
ID,Embassy Phone,+62 21 524 8200,,Netherlands
ID,Embassy Address,"Jl. H. Agus Salim No.61, Jakarta 10350",,Croatia
ID,Embassy Phone,+62 21 3190 4046,,Croatia
ID,Embassy Address,"Jl. H.R. Rasuna Said Kav. S-3, Jakarta 12950",,Switzerland
ID,Embassy Phone,+62 21 525 6061,,Switzerland
ID,Embassy Address,(N/A - Home country),,Indonesia
ID,Embassy Address,"Jl. Teuku Umar No.25, Jakarta 10350",,Vietnam
ID,Embassy Phone,+62 21 310 0358,,Vietnam
ID,Embassy Address,"Jl. Patra Kuningan Raya Kav. XIII, Jakarta 12950",,Australia
ID,Embassy Phone,+62 21 2550 5555,,Australia
ID,Embassy Address,"Jl. H.R. Rasuna Said Kav. X/6, Jakarta 12950",,Malaysia
ID,Embassy Phone,+62 21 522 4947,,Malaysia
ID,Embassy Address,"Jl. Jend. Sudirman Kav. 61-62, Jakarta 12190",,South Korea
ID,Embassy Phone,+62 21 2967 2555,,South Korea
ID,Embassy Address,"Jl. H.R. Rasuna Said Kav. S-1, Jakarta 12950",,India
ID,Embassy Phone,+62 21 520 4150,,India
ID,Embassy Address,"Jl. M.T. Haryono Kav. 2, Jakarta 12810",,Saudi Arabia
ID,Embassy Phone,+62 21 252 2742,,Saudi Arabia
ID,Embassy Address,"World Trade Centre, Jl. Jend. Sudirman Kav. 29-31, Jakarta 12920",,Canada
ID,Embassy Phone,+62 21 2550 7800,,Canada
ID,Embassy Address,"Jl. H. Agus Salim No.61, Jakarta 10350",,Brazil
ID,Embassy Phone,+62 21 3190 4046,,Brazil
ID,Embassy Address,"Jl. Teuku Umar No.68, Jakarta 10350",,Egypt
ID,Embassy Phone,+62 21 3190 4046,,Egypt
ID,Embassy Address,"Jl. H. Agus Salim No.61, Jakarta 10350",,Morocco
ID,Embassy Phone,+62 21 3190 4046,,Morocco
VN,Embassy Address,"57 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,France
VN,Embassy Phone,+84 24 3944 5700,,France
VN,Embassy Address,"27 Liễu Giai, Ba Đình, Hà Nội",,Japan
VN,Embassy Phone,+84 24 3846 3000,,Japan
VN,Embassy Address,"63-65 Hoàng Diệu, Ba Đình, Hà Nội",,Thailand
VN,Embassy Phone,+84 24 3845 0094,,Thailand
VN,Embassy Address,"7 Láng Hạ, Ba Đình, Hà Nội",,United States
VN,Embassy Phone,+84 24 3850 5000,,United States
VN,Embassy Address,"9 Lê Phụng Hiểu, Hoàn Kiếm, Hà Nội",,Italy
VN,Embassy Phone,+84 24 3825 6256,,Italy
VN,Embassy Address,"4 Lê Hồng Phong, Ba Đình, Hà Nội",,Spain
VN,Embassy Phone,+84 24 3771 5207,,Spain
VN,Embassy Address,"14 Trần Bình Trọng, Hoàn Kiếm, Hà Nội",,Turkey
VN,Embassy Phone,+84 24 3941 3710,,Turkey
VN,Embassy Address,"29 Trần Phú, Ba Đình, Hà Nội",,Germany
VN,Embassy Phone,+84 24 3267 3335,,Germany
VN,Embassy Address,"14 Thụy Khuê, Tây Hồ, Hà Nội",,Mexico
VN,Embassy Phone,+84 24 3823 2099,,Mexico
VN,Embassy Address,"4 Đào Tấn, Ba Đình, Hà Nội",,United Kingdom
VN,Embassy Phone,+84 24 3936 0500,,United Kingdom
VN,Embassy Address,"27-29 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,Greece
VN,Embassy Phone,+84 24 3942 5678,,Greece
VN,Embassy Address,"46 Hoàng Diệu, Ba Đình, Hà Nội",,China
VN,Embassy Phone,+84 24 3845 3736,,China
VN,Embassy Address,"18 Lê Phụng Hiểu, Hoàn Kiếm, Hà Nội",,Austria
VN,Embassy Phone,+84 24 3943 3050,,Austria
VN,Embassy Address,"14 Trần Bình Trọng, Hoàn Kiếm, Hà Nội",,Portugal
VN,Embassy Phone,+84 24 3941 3710,,Portugal
VN,Embassy Address,"44 Trần Phú, Ba Đình, Hà Nội",,UAE
VN,Embassy Phone,+84 24 3845 7272,,UAE
VN,Embassy Address,"6 Ngô Quyền, Hoàn Kiếm, Hà Nội",,Netherlands
VN,Embassy Phone,+84 24 3823 5932,,Netherlands
VN,Embassy Address,"14 Trần Bình Trọng, Hoàn Kiếm, Hà Nội",,Croatia
VN,Embassy Phone,+84 24 3941 3710,,Croatia
VN,Embassy Address,"15 Thụy Khuê, Tây Hồ, Hà Nội",,Switzerland
VN,Embassy Phone,+84 24 3845 2936,,Switzerland
VN,Embassy Address,"50 Ngô Quyền, Hoàn Kiếm, Hà Nội",,Indonesia
VN,Embassy Phone,+84 24 3825 5885,,Indonesia
VN,Embassy Address,(N/A - Home country),,Vietnam
VN,Embassy Address,"8 Tôn Thất Thuyết, Ba Đình, Hà Nội",,Australia
VN,Embassy Phone,+84 24 3774 0100,,Australia
VN,Embassy Address,"43-45 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,Malaysia
VN,Embassy Phone,+84 24 3825 8886,,Malaysia
VN,Embassy Address,"43-45 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,South Korea
VN,Embassy Phone,+84 24 3825 8886,,South Korea
VN,Embassy Address,"58-60 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,India
VN,Embassy Phone,+84 24 3824 4989,,India
VN,Embassy Address,"17 Lê Thánh Tông, Hoàn Kiếm, Hà Nội",,Saudi Arabia
VN,Embassy Phone,+84 24 3824 5117,,Saudi Arabia
VN,Embassy Address,"31 Hùng Vương, Ba Đình, Hà Nội",,Canada
VN,Embassy Phone,+84 24 3734 5000,,Canada
VN,Embassy Address,"14 Trần Bình Trọng, Hoàn Kiếm, Hà Nội",,Brazil
VN,Embassy Phone,+84 24 3941 3710,,Brazil
VN,Embassy Address,"63 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,Egypt
VN,Embassy Phone,+84 24 3825 8873,,Egypt
VN,Embassy Address,"9 Chu Văn An, Ba Đình, Hà Nội",,Morocco
VN,Embassy Phone,+84 24 3823 0496,,Morocco
AU,Embassy Address,"6 Perth Avenue, Yarralumla ACT 2600, Canberra",,France
AU,Embassy Phone,+61 2 6216 0100,,France
AU,Embassy Address,"112 Empire Circuit, Yarralumla ACT 2600, Canberra",,Japan
AU,Embassy Phone,+61 2 6273 3244,,Japan
AU,Embassy Address,"111 Empire Circuit, Yarralumla ACT 2600, Canberra",,Thailand
AU,Embassy Phone,+61 2 6206 0100,,Thailand
AU,Embassy Address,"Moonah Place, Yarralumla ACT 2600, Canberra",,United States
AU,Embassy Phone,+61 2 6214 5600,,United States
AU,Embassy Address,"12 Grey Street, Deakin ACT 2600, Canberra",,Italy
AU,Embassy Phone,+61 2 6273 3333,,Italy
AU,Embassy Address,"15 Arkana Street, Yarralumla ACT 2600, Canberra",,Spain
AU,Embassy Phone,+61 2 6273 3555,,Spain
AU,Embassy Address,"6 Moonah Place, Yarralumla ACT 2600, Canberra",,Turkey
AU,Embassy Phone,+61 2 6234 0000,,Turkey
AU,Embassy Address,"119 Empire Circuit, Yarralumla ACT 2600, Canberra",,Germany
AU,Embassy Phone,+61 2 6270 1911,,Germany
AU,Embassy Address,"14 Perth Avenue, Yarralumla ACT 2600, Canberra",,Mexico
AU,Embassy Phone,+61 2 6273 3963,,Mexico
AU,Embassy Address,"45-47 Commonwealth Ave, Yarralumla ACT 2600, Canberra",,United Kingdom
AU,Embassy Phone,+61 2 6270 6666,,United Kingdom
AU,Embassy Address,"9 Turrana Street, Yarralumla ACT 2600, Canberra",,Greece
AU,Embassy Phone,+61 2 6273 0124,,Greece
AU,Embassy Address,"15 Coronation Drive, Yarralumla ACT 2600, Canberra",,China
AU,Embassy Phone,+61 2 6273 4780,,China
AU,Embassy Address,"12 Talara Road, Yarralumla ACT 2600, Canberra",,Austria
AU,Embassy Phone,+61 2 6295 1533,,Austria
AU,Embassy Address,"4 Beale Crescent, Deakin ACT 2600, Canberra",,Portugal
AU,Embassy Phone,+61 2 6232 7676,,Portugal
AU,Embassy Address,"2 Moonah Place, Yarralumla ACT 2600, Canberra",,UAE
AU,Embassy Phone,+61 2 6286 8802,,UAE
AU,Embassy Address,"120 Empire Circuit, Yarralumla ACT 2600, Canberra",,Netherlands
AU,Embassy Phone,+61 2 6220 9400,,Netherlands
AU,Embassy Address,"14 Jindalee Crescent, O'Malley ACT 2606, Canberra",,Croatia
AU,Embassy Phone,+61 2 6286 6988,,Croatia
AU,Embassy Address,"7 Beale Crescent, Deakin ACT 2600, Canberra",,Switzerland
AU,Embassy Phone,+61 2 6162 8400,,Switzerland
AU,Embassy Address,"8 Darwin Avenue, Yarralumla ACT 2600, Canberra",,Indonesia
AU,Embassy Phone,+61 2 6250 8600,,Indonesia
AU,Embassy Address,"6 Timbarra Crescent, O'Malley ACT 2606, Canberra",,Vietnam
AU,Embassy Phone,+61 2 6286 6059,,Vietnam
AU,Embassy Address,(N/A - Home country),,Australia
AU,Embassy Address,"7 Perth Avenue, Yarralumla ACT 2600, Canberra",,Malaysia
AU,Embassy Phone,+61 2 6120 0300,,Malaysia
AU,Embassy Address,"113 Empire Circuit, Yarralumla ACT 2600, Canberra",,South Korea
AU,Embassy Phone,+61 2 6270 4100,,South Korea
AU,Embassy Address,"3 Moonah Place, Yarralumla ACT 2600, Canberra",,India
AU,Embassy Phone,+61 2 6273 3999,,India
AU,Embassy Address,"38 Guilfoyle Street, Yarralumla ACT 2600, Canberra",,Saudi Arabia
AU,Embassy Phone,+61 2 6250 7000,,Saudi Arabia
AU,Embassy Address,"Commonwealth Ave, Yarralumla ACT 2600, Canberra",,Canada
AU,Embassy Phone,+61 2 6270 4000,,Canada
AU,Embassy Address,"19 Forster Crescent, Yarralumla ACT 2600, Canberra",,Brazil
AU,Embassy Phone,+61 2 6273 2372,,Brazil
AU,Embassy Address,"6 Culgoa Circuit, O'Malley ACT 2606, Canberra",,Egypt
AU,Embassy Phone,+61 2 6286 8000,,Egypt
AU,Embassy Address,"4 National Circuit, Barton ACT 2600, Canberra",,Morocco
AU,Embassy Phone,+61 2 6273 3617,,Morocco
MY,Embassy Address,"196 Jalan Ampang, 50450 Kuala Lumpur",,France
MY,Embassy Phone,+60 3 2053 5500,,France
MY,Embassy Address,"11 Persiaran Stonor, 50450 Kuala Lumpur",,Japan
MY,Embassy Phone,+60 3 2177 2600,,Japan
MY,Embassy Address,"206 Jalan Ampang, 50450 Kuala Lumpur",,Thailand
MY,Embassy Phone,+60 3 2148 8222,,Thailand
MY,Embassy Address,"376 Jalan Tun Razak, 50400 Kuala Lumpur",,United States
MY,Embassy Phone,+60 3 2168 5000,,United States
MY,Embassy Address,"98 Jalan Ampang, 50450 Kuala Lumpur",,Italy
MY,Embassy Phone,+60 3 4256 5555,,Italy
MY,Embassy Address,"12th Floor, Wisma Goldhill, 67 Jalan Raja Chulan, 50200 Kuala Lumpur",,Spain
MY,Embassy Phone,+60 3 2142 8775,,Spain
MY,Embassy Address,"118 Jalan U Thant, 55000 Kuala Lumpur",,Turkey
MY,Embassy Phone,+60 3 4251 1807,,Turkey
MY,Embassy Address,"26 Jalan Tun Razak, 50400 Kuala Lumpur",,Germany
MY,Embassy Phone,+60 3 2170 9666,,Germany
MY,Embassy Address,"2nd Floor, Wisma Selangor Dredging, 142C Jalan Ampang, 50450 Kuala Lumpur",,Mexico
MY,Embassy Phone,+60 3 2161 2011,,Mexico
MY,Embassy Address,"185 Jalan Ampang, 50450 Kuala Lumpur",,United Kingdom
MY,Embassy Phone,+60 3 2170 2200,,United Kingdom
MY,Embassy Address,"11th Floor, Wisma Goldhill, 67 Jalan Raja Chulan, 50200 Kuala Lumpur",,Greece
MY,Embassy Phone,+60 3 2142 8775,,Greece
MY,Embassy Address,"229 Jalan Ampang, 50450 Kuala Lumpur",,China
MY,Embassy Phone,+60 3 2141 1189,,China
MY,Embassy Address,"44 Jalan U Thant, 55000 Kuala Lumpur",,Austria
MY,Embassy Phone,+60 3 2148 4458,,Austria
MY,Embassy Address,"1 Jalan U Thant, 55000 Kuala Lumpur",,Portugal
MY,Embassy Phone,+60 3 2148 1622,,Portugal
MY,Embassy Address,"10 Jalan Langgak Golf, 55000 Kuala Lumpur",,UAE
MY,Embassy Phone,+60 3 4253 5577,,UAE
MY,Embassy Address,"7th Floor, South Block, The Ampwalk, 218 Jalan Ampang, 50450 Kuala Lumpur",,Netherlands
MY,Embassy Phone,+60 3 2168 6200,,Netherlands
MY,Embassy Address,"3rd Floor, Wisma Selangor Dredging, 142C Jalan Ampang, 50450 Kuala Lumpur",,Croatia
MY,Embassy Phone,+60 3 2163 2066,,Croatia
MY,Embassy Address,"16th Floor, Wisma Goldhill, 67 Jalan Raja Chulan, 50200 Kuala Lumpur",,Switzerland
MY,Embassy Phone,+60 3 2148 0622,,Switzerland
MY,Embassy Address,"233 Jalan Tun Razak, 50400 Kuala Lumpur",,Indonesia
MY,Embassy Phone,+60 3 2116 4000,,Indonesia
MY,Embassy Address,"No.4, Persiaran Stonor, 50450 Kuala Lumpur",,Vietnam
MY,Embassy Phone,+60 3 2148 4534,,Vietnam
MY,Embassy Address,"6 Jalan Yap Kwan Seng, 50450 Kuala Lumpur",,Australia
MY,Embassy Phone,+60 3 2146 5555,,Australia
MY,Embassy Address,(N/A - Home country),,Malaysia
MY,Embassy Address,"9th Floor, Wisma Goldhill, 67 Jalan Raja Chulan, 50200 Kuala Lumpur",,South Korea
MY,Embassy Phone,+60 3 4251 2336,,South Korea
MY,Embassy Address,"28 Jalan Taman Duta, Off Jalan Duta, 50480 Kuala Lumpur",,India
MY,Embassy Phone,+60 3 2093 3504,,India
MY,Embassy Address,"41 Jalan U Thant, 55000 Kuala Lumpur",,Saudi Arabia
MY,Embassy Phone,+60 3 4256 8900,,Saudi Arabia
MY,Embassy Address,"Menara Tan & Tan, 207 Jalan Tun Razak, 50400 Kuala Lumpur",,Canada
MY,Embassy Phone,+60 3 2718 3333,,Canada
MY,Embassy Address,"19th Floor, Wisma Goldhill, 67 Jalan Raja Chulan, 50200 Kuala Lumpur",,Brazil
MY,Embassy Phone,+60 3 2148 9161,,Brazil
MY,Embassy Address,"12 Jalan Rhu, off Jalan Ampang Hilir, 55000 Kuala Lumpur",,Egypt
MY,Embassy Phone,+60 3 4256 8184,,Egypt
MY,Embassy Address,"12th Floor, Wisma Goldhill, 67 Jalan Raja Chulan, 50200 Kuala Lumpur",,Morocco
MY,Embassy Phone,+60 3 2141 1444,,Morocco
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,France
SA,Embassy Phone,+966 11 488 6000,,France
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Japan
SA,Embassy Phone,+966 11 488 6000,,Japan
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Thailand
SA,Embassy Phone,+966 11 488 6000,,Thailand
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,United States
SA,Embassy Phone,+966 11 488 6000,,United States
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Italy
SA,Embassy Phone,+966 11 488 6000,,Italy
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Spain
SA,Embassy Phone,+966 11 488 6000,,Spain
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Turkey
SA,Embassy Phone,+966 11 488 6000,,Turkey
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Germany
SA,Embassy Phone,+966 11 488 6000,,Germany
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Mexico
SA,Embassy Phone,+966 11 488 6000,,Mexico
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,United Kingdom
SA,Embassy Phone,+966 11 488 6000,,United Kingdom
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Greece
SA,Embassy Phone,+966 11 488 6000,,Greece
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,China
SA,Embassy Phone,+966 11 488 6000,,China
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Austria
SA,Embassy Phone,+966 11 488 6000,,Austria
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Portugal
SA,Embassy Phone,+966 11 488 6000,,Portugal
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,United Arab Emirates
SA,Embassy Phone,+966 11 488 6000,,United Arab Emirates
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Netherlands
SA,Embassy Phone,+966 11 488 6000,,Netherlands
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Croatia
SA,Embassy Phone,+966 11 488 6000,,Croatia
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Switzerland
SA,Embassy Phone,+966 11 488 6000,,Switzerland
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Indonesia
SA,Embassy Phone,+966 11 488 6000,,Indonesia
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Vietnam
SA,Embassy Phone,+966 11 488 6000,,Vietnam
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Australia
SA,Embassy Phone,+966 11 488 6000,,Australia
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,Malaysia
SA,Embassy Phone,+966 11 488 6000,,Malaysia
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,South Korea
SA,Embassy Phone,+966 11 488 6000,,South Korea
SA,Embassy Address,"Diplomatic Quarter, Riyadh",,India
SA,Embassy Phone,+966 11 488 6000,,India
CA,Embassy Address,"42 Sussex Drive, Ottawa, ON K1M 2C9",,France
CA,Embassy Phone,+1 613 238 6212,,France
CA,Embassy Address,"255 Sussex Drive, Ottawa, ON K1N 5E6",,Japan
CA,Embassy Phone,+1 613 241 8541,,Japan
CA,Embassy Address,"180 Island Park Drive, Ottawa, ON K1Y 0A2",,Thailand
CA,Embassy Phone,+1 613 722 4441,,Thailand
CA,Embassy Address,"490 Sussex Drive, Ottawa, ON K1N 1G8",,United States
CA,Embassy Phone,+1 613 238 5335,,United States
CA,Embassy Address,"275 Slater Street, Ottawa, ON K1P 5H9",,Italy
CA,Embassy Phone,+1 613 232 3501,,Italy
CA,Embassy Address,"74 Stanley Avenue, Ottawa, ON K1M 1P1",,Spain
CA,Embassy Phone,+1 613 233 6281,,Spain
CA,Embassy Address,"197 Wurtemburg Street, Ottawa, ON K1N 8L9",,Turkey
CA,Embassy Phone,+1 613 789 3211,,Turkey
CA,Embassy Address,"1 Waverley Street, Ottawa, ON K2P 0T8",,Germany
CA,Embassy Phone,+1 613 232 1101,,Germany
CA,Embassy Address,"45 O’Connor Street, Ottawa, ON K1P 1A4",,Mexico
CA,Embassy Phone,+1 613 233 8988,,Mexico
CA,Embassy Address,"80 Elgin Street, Ottawa, ON K1P 5K7",,United Kingdom
CA,Embassy Phone,+1 613 237 1530,,United Kingdom
CA,Embassy Address,"80 MacLaren Street, Ottawa, ON K2P 0K6",,Greece
CA,Embassy Phone,+1 613 236 5561,,Greece
CA,Embassy Address,"515 St. Patrick Street, Ottawa, ON K1N 5H3",,China
CA,Embassy Phone,+1 613 789 3434,,China
CA,Embassy Address,"445 Wilbrod Street, Ottawa, ON K1N 6M7",,Austria
CA,Embassy Phone,+1 613 789 1444,,Austria
CA,Embassy Address,"645 Island Park Drive, Ottawa, ON K1Y 0B8",,Portugal
CA,Embassy Phone,+1 613 722 0990,,Portugal
CA,Embassy Address,"1255 Bay Street, Toronto, ON M5R 2A9",,United Arab Emirates
CA,Embassy Phone,+1 416 964 4622,,United Arab Emirates
CA,Embassy Address,"7 Grosvenor Street, Ottawa, ON K1N 6E6",,Netherlands
CA,Embassy Phone,+1 613 238 1712,,Netherlands
CA,Embassy Address,"229 Argyle Street, Ottawa, ON K2P 1B7",,Croatia
CA,Embassy Phone,+1 613 232 0051,,Croatia
CA,Embassy Address,"5 Marlborough Avenue, Ottawa, ON K1N 8E6",,Switzerland
CA,Embassy Phone,+1 613 230 4100,,Switzerland
CA,Embassy Address,"350 Sparks Street, Ottawa, ON K1R 7S8",,Indonesia
CA,Embassy Phone,+1 613 233 4431,,Indonesia
CA,Embassy Address,"55 Metcalfe Street, Ottawa, ON K1P 6L5",,Vietnam
CA,Embassy Phone,+1 613 234 1300,,Vietnam
CA,Embassy Address,"50 O’Connor Street, Ottawa, ON K1P 6L2",,Australia
CA,Embassy Phone,+1 613 236 0841,,Australia
CA,Embassy Address,"60 Boteler Street, Ottawa, ON K1N 0A8",,Malaysia
CA,Embassy Phone,+1 613 235 1837,,Malaysia
CA,Embassy Address,"150 Boteler Street, Ottawa, ON K1N 0A8",,South Korea
CA,Embassy Phone,+1 613 232 4099,,South Korea
CA,Embassy Address,"10 Springfield Road, Ottawa, ON K1M 1C9",,India
CA,Embassy Phone,+1 613 744 3751,,India
CA,Embassy Address,"363 Sussex Drive, Ottawa, ON K1N 1K1",,Saudi Arabia
CA,Embassy Phone,+1 613 236 6700,,Saudi Arabia
BR,Embassy Address,"SES Quadra 804, Bloco E, Brasília",,France
BR,Embassy Phone,+55 61 3448 6400,,France
BR,Embassy Address,"SES Quadra 807, Bloco A, Brasília",,Japan
BR,Embassy Phone,+55 61 3448 6400,,Japan
BR,Embassy Address,"SHIS QI 9, Conjunto 6, Brasília",,Thailand
BR,Embassy Phone,+55 61 3362 3000,,Thailand
BR,Embassy Address,"SES Avenida das Nações, Brasília",,United States
BR,Embassy Phone,+55 61 3312 7000,,United States
BR,Embassy Address,"SES Avenida das Nações, Brasília",,Italy
BR,Embassy Phone,+55 61 3312 7000,,Italy
